run,herd ID,herd type ID,herd type,species ID,herd size,farm ID,lat,long,LGA ID,region ID,mega-region ID,jurisdiction ID,risk category,biosecurity weight,unused,unused,day infected,infection pathway,source herd ID,source jurisdiction ID,day clinical,day diagnosed,reason diagnosed,day culled,reason culled,day vaccinated,day immune,last day infected,prevalence,seroprevalence,num sero+,lacto-prevalence
2,20740,2,beef intensive,1,45,20740,-36.333,144.952,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,23,30,-1,0.0000,0.0000,0,0.0000
2,116231,10,smallholder,4,6,116231,-36.3385,144.917,165,9,3,2,0.0,1.0,0,0,15,local,64828,2,17,20,ARP,22,IP,-1,-1,22,0.0000,0.0000,0,0.0000
2,20743,2,beef intensive,1,61,20743,-36.3129,144.904,165,9,3,2,0.0,1.0,0,0,17,local,58486,2,18,24,SP,27,IP,22,29,27,0.0000,0.0000,0,0.0000
2,58375,6,dairy,1,122,58375,-36.3416,144.878,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,21005,2,beef intensive,1,38,21005,-36.2387,144.521,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,58381,6,dairy,1,575,58381,-36.3676,144.943,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,20753,2,beef intensive,1,48,20753,-36.33,144.873,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,21010,2,beef intensive,1,135,21010,-36.2002,144.507,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,58642,6,dairy,1,298,58642,-36.2064,144.52,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,59416,6,dairy,1,316,59416,-36.1243,145.242,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,36,43,-1,0.0000,0.0000,0,0.0000
2,58393,6,dairy,1,377,58393,-36.3875,144.89,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,20763,2,beef intensive,1,30,20763,-36.3759,144.858,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,20767,2,beef intensive,1,72,20767,-36.3093,144.915,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,58656,6,dairy,1,210,58656,-36.2301,144.568,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,26,33,-1,0.0000,0.0000,0,0.0000
2,58401,6,dairy,1,139,58401,-36.2995,144.896,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,20773,2,beef intensive,1,113,20773,-36.3494,144.921,165,9,3,2,0.0,1.0,0,0,4,local,64828,2,5,20,ARP,23,IP,-1,-1,23,0.0000,0.0000,0,0.0000
